Iteration,Loss,Accuracy
0,1.3284977674484253,0.46875
1,1.264768362045288,0.46875
2,1.3026259740193684,0.4375
3,1.1713908910751343,0.4765625
4,1.2327310562133789,0.45625
5,1.276458740234375,0.4427083333333333
6,1.2808053152901786,0.4375
7,1.2589040994644165,0.44140625
8,1.288929409450955,0.4305555555555556
9,1.3118240356445312,0.434375
10,1.3056449890136719,0.4431818181818182
11,1.3057504494984944,0.4453125
12,1.3142392085148737,0.4423076923076923
13,1.323530878339495,0.44419642857142855
14,1.3467274983723958,0.4375
15,1.3507670164108276,0.439453125
16,1.3540238773121553,0.43566176470588236
17,1.3477146360609267,0.4375
18,1.3478089382773952,0.4342105263157895
19,1.350266456604004,0.43125
20,1.3426719847179593,0.43601190476190477
21,1.338960127397017,0.4318181818181818
22,1.3329362454621687,0.42934782608695654
23,1.3304078578948975,0.43359375
24,1.325819091796875,0.43625
25,1.3248892564039965,0.4338942307692308
26,1.3258091961895977,0.4340277777777778
27,1.3164926256452287,0.4341517857142857
28,1.3129727593783675,0.42995689655172414
29,1.3061325073242187,0.434375
30,1.2969905484107234,0.4334677419354839
31,1.293482780456543,0.435546875
32,1.292145353375059,0.4356060606060606
33,1.2879348081700943,0.43566176470588236
34,1.2887380327497209,0.43839285714285714
35,1.295660760667589,0.4366319444444444
36,1.28716618305928,0.4391891891891892
37,1.2867331253854852,0.44
0,0.9355076551437378,0.5
1,0.8793540000915527,0.578125
2,1.023353099822998,0.5208333333333334
3,0.9683536291122437,0.5390625
4,0.9538285255432128,0.5375
5,0.9728875954945883,0.53125
6,0.964000974382673,0.5357142857142857
7,0.9457887411117554,0.5390625
8,0.9801934560139974,0.5416666666666666
9,0.9897372245788574,0.54375
10,0.9860995032570579,0.5397727272727273
11,0.977835496266683,0.5546875
12,0.9757837148813101,0.5600961538461539
13,0.9730145590645927,0.5602678571428571
14,0.9700254440307617,0.55625
15,0.9610445499420166,0.5625
16,0.9623496111701516,0.5569852941176471
17,0.956962161593967,0.5520833333333334
18,0.9580969559518915,0.5526315789473685
19,0.9655708312988281,0.546875
20,0.963781992594401,0.5446428571428571
21,0.9562898115678267,0.5497159090909091
22,0.9528037361476732,0.5516304347826086
23,0.943736712137858,0.5559895833333334
24,0.9327933502197265,0.56125
25,0.9328876642080454,0.5612980769230769
26,0.9342301686604818,0.5636574074074074
27,0.9352143151419503,0.5602678571428571
28,0.9281146608549973,0.5646551724137931
29,0.9233152389526367,0.565625
30,0.9293387628370716,0.5604838709677419
31,0.9364577531814575,0.55859375
32,0.9378340750029592,0.5577651515151515
33,0.9345718832576976,0.5588235294117647
34,0.9402458190917968,0.5544642857142857
35,0.9445558124118381,0.5546875
36,0.9502256238782728,0.5548986486486487
37,0.9489951886628804,0.5566666666666666
