Epoch,Iteration,Loss,Accuracy,Learning Rate
1,71,1.1398,0.5169,0.001
1,72,1.142,0.5154,0.001
1,73,1.1437,0.5144,0.001
1,74,1.1515,0.5121,0.001
1,75,1.1537,0.5123,0.001
1,76,1.1567,0.5118,0.001
1,77,1.1551,0.5128,0.001
1,78,1.1587,0.5111,0.001
1,79,1.1645,0.509,0.001
1,80,1.1652,0.5093,0.001
1,81,1.1657,0.5095,0.001
1,82,1.1694,0.5075,0.001
1,83,1.1678,0.5074,0.001
1,84,1.1683,0.507,0.001
1,85,1.1678,0.5073,0.001
1,86,1.1669,0.5079,0.001
1,87,1.1641,0.5079,0.001
1,0,0.9449,0.4375,0.001
1,1,0.9659,0.4531,0.001
1,2,0.9721,0.4479,0.001
1,3,1.0893,0.4297,0.001
1,4,1.0799,0.4437,0.001
1,5,1.0894,0.4635,0.001
1,6,1.038,0.5,0.001
1,7,1.0225,0.5039,0.001
1,8,1.009,0.5069,0.001
1,9,1.0152,0.5,0.001
1,10,1.0272,0.5,0.001
1,11,1.0248,0.5,0.001
1,12,1.0217,0.5024,0.001
1,13,1.0311,0.5089,0.001
1,14,1.0314,0.5104,0.001
1,15,1.0236,0.5156,0.001
1,16,1.0087,0.5239,0.001
1,17,1.0146,0.5174,0.001
1,18,1.0234,0.5148,0.001
1,19,1.0278,0.5172,0.001
1,20,1.0207,0.5208,0.001
1,21,1.0396,0.5199,0.001
1,22,1.03,0.5245,0.001
1,23,1.0386,0.526,0.001
1,24,1.033,0.5288,0.001
1,25,1.0361,0.5276,0.001
1,26,1.0335,0.5312,0.001
1,27,1.0303,0.5324,0.001
1,28,1.027,0.5323,0.001
1,29,1.0234,0.5344,0.001
1,30,1.0181,0.5373,0.001
1,31,1.0159,0.5371,0.001
1,32,1.0265,0.5303,0.001
1,33,1.0257,0.5303,0.001
1,34,1.0229,0.5304,0.001
1,35,1.0121,0.5365,0.001
1,36,1.0184,0.5312,0.001
1,37,1.0169,0.5329,0.000999
1,38,1.0148,0.5345,0.000999
1,39,1.0135,0.5352,0.000999
1,40,1.0082,0.5389,0.000999
1,41,1.0078,0.5394,0.000999
1,42,1.0036,0.5422,0.000999
1,43,1.0065,0.5391,0.000999
1,44,1.0088,0.5396,0.000999
1,45,1.0143,0.5387,0.000999
1,46,1.0121,0.5379,0.000999
1,47,1.0094,0.5404,0.000999
1,48,1.0133,0.5376,0.000999
1,49,1.0219,0.5344,0.000999
1,50,1.0196,0.5349,0.000999
1,51,1.016,0.5361,0.000999
1,52,1.0129,0.5366,0.000999
1,53,1.0137,0.5353,0.000999
1,54,1.0108,0.5381,0.000999
1,55,1.0072,0.5396,0.000999
1,56,1.0063,0.5411,0.000999
1,57,1.0037,0.5442,0.000999
1,58,1.0018,0.5445,0.000999
1,59,0.9986,0.5448,0.000999
1,60,0.9958,0.5476,0.000999
1,61,0.9936,0.5479,0.000999
1,62,0.9913,0.5476,0.000999
1,63,0.9874,0.5498,0.000999
1,64,0.9872,0.55,0.000999
1,65,0.9854,0.5507,0.000999
