Epoch,Iteration,Loss,Accuracy,Learning Rate
1,61,2.0548,0.4274,0.000998
1,62,2.0484,0.4325,0.000998
1,63,2.0577,0.4346,0.000998
1,64,2.0591,0.4375,0.000998
1,65,2.0666,0.437,0.000998
1,66,2.0839,0.4305,0.000998
1,67,2.0874,0.4242,0.000998
1,68,2.1016,0.418,0.000998
1,69,2.0885,0.4228,0.000998
1,70,2.0818,0.4256,0.000998
1,71,2.0805,0.4284,0.000998
1,72,2.0773,0.4319,0.000998
1,73,2.0733,0.4367,0.000998
1,74,2.0556,0.4429,0.000998
1,75,2.049,0.4482,0.000998
1,76,2.0577,0.4497,0.000998
1,77,2.0978,0.4439,0.000998
1,78,2.1358,0.4383,0.000998
1,79,2.1627,0.4328,0.000998
1,80,2.1828,0.4275,0.000998
1,81,2.1864,0.4223,0.000998
1,82,2.1843,0.4247,0.000998
1,83,2.1742,0.4289,0.000998
1,84,2.181,0.4301,0.000998
1,85,2.1774,0.4331,0.000998
1,86,2.179,0.4361,0.000998
1,87,2.185,0.4375,0.000998
1,0,3.7697,0.0938,0.000998
1,1,3.751,0.0625,0.000998
1,2,3.0739,0.1562,0.000998
1,3,2.5129,0.3281,0.000998
1,4,2.1098,0.4375,0.000998
1,5,1.9184,0.5052,0.000998
1,6,1.7587,0.558,0.000998
1,7,1.7008,0.5898,0.000998
1,8,1.6335,0.6146,0.000998
1,9,1.5773,0.6344,0.000998
1,10,1.5481,0.6477,0.000998
1,11,1.8348,0.5938,0.000998
1,12,2.072,0.5481,0.000998
1,13,2.2711,0.5089,0.000998
1,14,2.349,0.475,0.000998
1,15,2.4074,0.4453,0.000997
1,16,2.3817,0.4301,0.000997
1,17,2.4035,0.4115,0.000997
1,18,2.4104,0.4046,0.000997
1,19,2.3708,0.4062,0.000997
1,20,2.3168,0.4182,0.000997
1,21,2.2495,0.4347,0.000997
1,22,2.3474,0.4158,0.000997
1,23,2.4066,0.3984,0.000997
1,24,2.4514,0.3837,0.000997
1,25,2.4633,0.3738,0.000997
1,26,2.4582,0.3634,0.000997
1,27,2.4423,0.3538,0.000997
1,28,2.4172,0.3556,0.000997
1,29,2.4009,0.3542,0.000997
1,30,2.3788,0.3619,0.000997
1,31,2.3544,0.3652,0.000997
1,32,2.3388,0.3703,0.000997
1,33,2.3663,0.3594,0.000997
1,34,2.385,0.3491,0.000997
1,35,2.4152,0.3394,0.000997
1,36,2.4158,0.3311,0.000997
1,37,2.4168,0.3232,0.000997
1,38,2.4174,0.3245,0.000997
1,39,2.4156,0.3273,0.000997
1,40,2.4088,0.3308,0.000997
1,41,2.3897,0.3333,0.000997
1,42,2.3706,0.3387,0.000997
1,43,2.3605,0.343,0.000997
1,44,2.3691,0.3354,0.000997
1,45,2.3828,0.3281,0.000997
1,46,2.391,0.3211,0.000997
1,47,2.3973,0.3145,0.000997
1,48,2.396,0.3087,0.000997
1,49,2.3947,0.3031,0.000997
1,50,2.3803,0.307,0.000997
1,51,2.3682,0.3083,0.000997
1,52,2.3533,0.3143,0.000997
1,53,2.3408,0.3177,0.000997
1,54,2.3371,0.3216,0.000997
1,55,2.349,0.3158,0.000997
1,56,2.3705,0.3103,0.000997
1,57,2.3852,0.305,0.000997
1,58,2.3982,0.2998,0.000997
1,59,2.4045,0.2948,0.000997
1,60,2.4043,0.29,0.000997
1,61,2.3978,0.2853,0.000997
1,62,2.3812,0.2907,0.000997
1,63,2.3672,0.2964,0.000997
1,64,2.3507,0.3029,0.000997
1,65,2.3467,0.3054,0.000997
1,66,2.3736,0.3008,0.000996
1,67,2.3872,0.2964,0.000996
1,68,2.403,0.2921,0.000996
1,69,2.4161,0.2879,0.000996
1,70,2.4218,0.2839,0.000996
1,71,2.4186,0.2799,0.000996
1,72,2.4125,0.2765,0.000996
1,73,2.4038,0.277,0.000996
1,74,2.3945,0.2787,0.000996
1,75,2.3825,0.2821,0.000996
1,76,2.3793,0.2841,0.000996
1,77,2.3892,0.2804,0.000996
1,78,2.3983,0.2769,0.000996
1,79,2.4023,0.2734,0.000996
1,80,2.4027,0.2701,0.000996
1,81,2.4049,0.2668,0.000996
1,82,2.4027,0.2636,0.000996
1,83,2.4003,0.2604,0.000996
1,84,2.3933,0.2599,0.000996
1,85,2.3873,0.2594,0.000996
1,86,2.3802,0.2611,0.000996
1,87,2.3713,0.2625,0.000996
1,0,3.3508,0.0,0.000996
1,1,3.141,0.0,0.000996
1,2,3.1267,0.0,0.000996
1,3,3.1016,0.0,0.000996
1,4,3.1089,0.0,0.000996
1,5,3.0547,0.0,0.000996
1,6,2.964,0.0134,0.000996
1,7,2.8566,0.0508,0.000996
1,8,2.7802,0.0625,0.000996
1,9,2.6995,0.0875,0.000996
1,10,2.621,0.1193,0.000996
1,11,2.5906,0.1146,0.000996
1,12,2.5749,0.1058,0.000996
1,13,2.5483,0.1027,0.000996
1,14,2.5166,0.1,0.000996
1,15,2.4982,0.0977,0.000996
1,16,2.4711,0.0938,0.000996
1,17,2.4367,0.092,0.000996
1,18,2.3995,0.1036,0.000996
1,19,2.3665,0.1172,0.000996
1,20,2.3323,0.1295,0.000996
1,21,2.2985,0.142,0.000996
1,22,2.2894,0.1386,0.000996
1,23,2.2744,0.1367,0.000995
1,24,2.2605,0.1363,0.000995
1,25,2.2471,0.1346,0.000995
1,26,2.2364,0.1343,0.000995
1,27,2.2206,0.1417,0.000995
1,28,2.1991,0.1573,0.000995
1,29,2.1731,0.1812,0.000995
1,30,2.1557,0.1966,0.000995
1,31,2.1318,0.2119,0.000995
1,32,2.1229,0.215,0.000995
1,33,2.1295,0.2086,0.000995
1,34,2.1326,0.2027,0.000995
1,35,2.1358,0.1988,0.000995
1,36,2.1318,0.1976,0.000995
1,37,2.1283,0.1933,0.000995
1,38,2.1247,0.1891,0.000995
1,39,2.1105,0.1906,0.000995
1,40,2.0943,0.1974,0.000995
1,41,2.0767,0.2061,0.000995
1,42,2.0597,0.2166,0.000995
1,43,2.0459,0.2237,0.000995
1,44,2.0614,0.2188,0.000995
1,45,2.082,0.214,0.000995
1,46,2.0918,0.2094,0.000995
1,47,2.1014,0.2051,0.000995
1,48,2.1024,0.2009,0.000995
1,49,2.0974,0.1969,0.000995
1,50,2.0871,0.1949,0.000995
1,51,2.0719,0.2043,0.000995
1,52,2.0538,0.217,0.000995
1,53,2.0402,0.2263,0.000995
1,54,2.0366,0.2307,0.000995
1,55,2.0549,0.2266,0.000995
1,56,2.0676,0.2226,0.000995
1,57,2.0764,0.2188,0.000995
1,58,2.0794,0.215,0.000995
1,59,2.0794,0.212,0.000995
1,60,2.0758,0.2157,0.000995
1,61,2.0705,0.2218,0.000995
1,62,2.0651,0.2292,0.000994
1,63,2.0562,0.2383,0.000994
1,64,2.0498,0.2457,0.000994
1,65,2.0489,0.25,0.000994
1,66,2.0631,0.2463,0.000994
1,67,2.0792,0.2426,0.000994
1,68,2.0951,0.2391,0.000994
1,69,2.1025,0.2357,0.000994
1,70,2.1067,0.2324,0.000994
1,71,2.1083,0.2296,0.000994
1,72,2.1095,0.2265,0.000994
1,73,2.112,0.2242,0.000994
1,74,2.1124,0.225,0.000994
1,75,2.112,0.2286,0.000994
1,76,2.1096,0.2309,0.000994
1,77,2.1164,0.228,0.000994
1,78,2.1279,0.2251,0.000994
1,79,2.1393,0.2223,0.000994
1,80,2.1453,0.2195,0.000994
1,81,2.1493,0.2168,0.000994
1,82,2.1507,0.215,0.000994
1,83,2.152,0.2128,0.000994
1,84,2.1507,0.2125,0.000994
1,85,2.1495,0.2148,0.000994
1,86,2.1411,0.2198,0.000994
1,87,2.1345,0.2221,0.000994
